usuario_id,usuario_sexo,usuario_edad,fecha_alta,hora_alta
380973,F,49,03/10/2018,5:57:40
381008,M,26,02/01/2018,5:53:06
624273,M,22,28/09/2018,5:57:35
624274,F,24,28/09/2018,5:57:35
624275,M,30,05/10/2018,5:57:42
624277,M,51,28/09/2018,5:57:35
624279,M,34,01/10/2018,5:57:38
381317,M,17,14/12/2018,5:58:52
381369,M,22,17/05/2018,5:55:21
381174,F,17,18/01/2018,5:53:22
381215,F,22,22/01/2018,5:53:26
381219,F,31,11/04/2018,5:54:45
381686,M,47,21/05/2018,5:55:25
381762,F,27,12/07/2018,5:56:17
381602,F,32,24/07/2018,5:56:29
381609,M,30,15/02/2018,5:53:50
381626,M,31,01/09/2018,5:57:08
381648,F,20,26/10/2018,5:58:03
381867,F,40,02/06/2018,5:55:37
381869,M,20,06/09/2018,5:57:13
381918,F,19,16/02/2018,5:53:51
382044,M,30,08/05/2018,5:55:12
382080,F,39,02/01/2018,5:53:06
381797,M,33,20/09/2018,5:57:27
382491,F,47,26/01/2018,5:53:30
382155,F,28,03/01/2018,5:53:07
382200,M,47,26/10/2018,5:58:03
382285,F,43,17/01/2018,5:53:21
382290,F,42,27/02/2018,5:54:02
382358,M,31,05/06/2018,5:55:40
382372,F,20,27/06/2018,5:56:02
382390,F,26,22/08/2018,5:56:58
382679,M,29,13/07/2018,5:56:18
382685,F,20,15/07/2018,5:56:20
382739,M,28,13/11/2018,5:58:21
382542,M,52,12/09/2018,5:57:19
382612,M,33,09/06/2018,5:55:44
382616,M,34,08/11/2018,5:58:16
382622,M,54,28/02/2018,5:54:03
176289,F,32,29/06/2018,5:56:04
176347,F,58,27/04/2018,5:55:01
177749,M,22,18/12/2018,5:58:56
177766,M,39,18/10/2018,5:57:55
177792,M,32,01/03/2018,5:54:04
177126,M,27,08/05/2018,5:55:12
176465,F,27,05/01/2018,5:53:09
177887,F,50,03/05/2018,5:55:07
176501,F,26,15/05/2018,5:55:19
176505,M,29,02/10/2018,5:57:39
177271,F,65,15/02/2018,5:53:50
177281,M,25,24/08/2018,5:57:00
176573,M,28,16/04/2018,5:54:50
176611,M,24,28/09/2018,5:57:35
177372,M,54,28/06/2018,5:56:03
177421,F,26,16/05/2018,5:55:20
178137,F,27,21/08/2018,5:56:57
177469,F,24,26/03/2018,5:54:29
177505,F,25,26/03/2018,5:54:29
176827,F,30,08/09/2018,5:57:15
176850,M,59,16/08/2018,5:56:52
177554,M,47,29/10/2018,5:58:06
177605,M,30,25/02/2018,5:54:00
215341,M,30,13/06/2018,5:55:48
215377,M,23,29/07/2018,5:56:34
215637,F,41,07/02/2018,5:53:42
216330,F,28,27/09/2018,5:57:34
216346,M,27,17/07/2018,5:56:22
215497,F,24,03/09/2018,5:57:10
216404,F,40,27/11/2018,5:58:35
215518,M,24,27/08/2018,5:57:03
215715,M,52,11/06/2018,5:55:46
216408,M,19,09/04/2018,5:54:43
216420,F,25,27/07/2018,5:56:32
216445,M,16,09/11/2018,5:58:17
215879,M,31,25/09/2018,5:57:32
215904,F,31,30/10/2018,5:58:07
215061,M,34,15/01/2018,5:53:19
215980,F,25,30/08/2018,5:57:06
215116,M,30,24/01/2018,5:53:28
215157,M,21,01/11/2018,5:58:09
216017,F,39,03/01/2018,5:53:07
216076,F,26,30/08/2018,5:57:06
215213,F,26,29/08/2018,5:57:05
215234,F,21,13/09/2018,5:57:20
216141,F,44,06/07/2018,5:56:11
215319,M,37,31/08/2018,5:57:07
216181,M,27,25/09/2018,5:57:32
216616,F,25,17/12/2018,5:58:55
216620,M,33,01/02/2018,5:53:36
216740,F,42,28/08/2018,5:57:04
216744,M,27,06/10/2018,5:57:43
216763,F,16,28/08/2018,5:57:04
216885,F,33,01/03/2018,5:54:04
506898,F,21,30/01/2018,5:53:34
506900,F,39,29/01/2018,5:53:33
506901,M,49,06/02/2018,5:53:41
506902,M,42,29/01/2018,5:53:33
506905,M,27,10/05/2018,5:55:14
506906,F,45,29/01/2018,5:53:33
506908,F,25,21/03/2018,5:54:24
506911,F,31,01/02/2018,5:53:36
506913,F,45,05/02/2018,5:53:40
506914,F,22,29/01/2018,5:53:33
506917,F,30,29/01/2018,5:53:33
506921,F,24,29/01/2018,5:53:33
506922,F,28,01/02/2018,5:53:36
506923,M,21,29/01/2018,5:53:33
506925,F,44,30/01/2018,5:53:34
506930,M,29,01/02/2018,5:53:36
506933,F,22,28/05/2018,5:55:32
506934,F,22,20/02/2018,5:53:55
506939,M,26,29/01/2018,5:53:33
507849,F,33,01/02/2018,5:53:36
507850,M,31,01/02/2018,5:53:36
507851,M,22,19/02/2018,5:53:54
507853,F,38,01/02/2018,5:53:36
507855,F,53,01/02/2018,5:53:36
507864,M,37,01/02/2018,5:53:36
507866,M,26,01/02/2018,5:53:36
507869,F,47,01/02/2018,5:53:36
507870,M,37,01/02/2018,5:53:36
507871,F,52,01/02/2018,5:53:36
507875,M,37,13/07/2018,5:56:18
507879,F,23,02/02/2018,5:53:37
507880,M,23,28/03/2018,5:54:31
507886,F,33,24/08/2018,5:57:00
507888,M,22,08/02/2018,5:53:43
506943,M,34,30/01/2018,5:53:34
506946,M,27,29/01/2018,5:53:33
506950,M,33,30/01/2018,5:53:34
506952,M,38,07/09/2018,5:57:14
506957,F,23,31/01/2018,5:53:35
506960,F,24,25/02/2018,5:54:00
506964,M,46,20/08/2018,5:56:56
506965,F,40,02/02/2018,5:53:37
506966,F,27,30/01/2018,5:53:34
506969,M,24,27/02/2018,5:54:02
506971,M,44,30/01/2018,5:53:34
506972,F,47,30/01/2018,5:53:34
506977,F,39,30/01/2018,5:53:34
506980,M,17,17/04/2018,5:54:51
506981,M,41,30/01/2018,5:53:34
506982,F,24,12/09/2018,5:57:19
506985,M,28,30/01/2018,5:53:34
506986,F,48,01/02/2018,5:53:36
506989,F,28,30/01/2018,5:53:34
507892,F,26,01/02/2018,5:53:36
507896,M,45,01/02/2018,5:53:36
507900,F,26,01/02/2018,5:53:36
507902,M,33,01/02/2018,5:53:36
507903,M,20,01/02/2018,5:53:36
507904,M,29,01/02/2018,5:53:36
507905,F,20,01/02/2018,5:53:36
507909,M,42,11/12/2018,5:58:49
507915,F,29,13/03/2018,5:54:16
507921,M,45,05/02/2018,5:53:40
507925,F,36,02/02/2018,5:53:37
507928,M,26,19/02/2018,5:53:54
507930,F,25,01/02/2018,5:53:36
507931,F,40,01/02/2018,5:53:36
507932,M,44,01/02/2018,5:53:36
507934,M,27,01/02/2018,5:53:36
507936,M,26,04/02/2018,5:53:39
507937,F,16,07/02/2018,5:53:42
507942,F,29,01/02/2018,5:53:36
507943,M,23,07/09/2018,5:57:14
506992,F,33,06/11/2018,5:58:14
506997,F,36,30/01/2018,5:53:34
506998,M,34,30/01/2018,5:53:34
